gene	expr	reptime	hic
ALPPL2	307666	204	37
ALS2	438202	523	29
ALS2CL	298503	495	41
ALS2CR11	436378	491	24
ALS2CR12	554245	411	31
ALS2CR4	435399	534	25
ALS2CR8	543912	392	33
ALX1	35916	925	-34
ALX3	571576	400	29
ALX4	301098	575	9
AMAC1	753178	505	16
AMAC1L2	499514	671	36
AMAC1L3	NaN	NaN	NaN
AMACR	270768	793	4
AMBN	262055	689	14
AMBP	244063	558	0
AMBRA1	880494	212	45
AMD1	321448	282	31
AMDHD1	366272	436	8
AMDHD2	2085452	321	49
AMELX	NaN	NaN	NaN
AMELY	0	0	0
AMFR	498079	442	-9
AMH	1603571	240	27
AMHR2	1712232	191	56
AMICA1	707709	293	56
AMIGO1	1056159	272	37
AMIGO2	150007	380	-12
AMIGO3	NaN	NaN	NaN
AMMECR1	157872	NaN	34
AMMECR1L	588745	248	39
AMN	758150	286	50
AMN1	313930	228	11
AMOT	25417	NaN	10
AMOTL1	332670	472	-7
AMOTL2	303429	189	21
AMPD1	600650	472	11
AMPD2	989433	201	29
AMPD3	777397	378	27
AMPH	167080	639	7
AMT	1585328	201	32
AMTN	264427	861	27
AMY1A	NaN	NaN	NaN
AMY1B	NaN	NaN	NaN
AMY1C	24508	1029	-14
AMY2A	27205	1015	-20
AMY2B	31276	974	-19
AMZ1	767440	392	30
AMZ2	764688	237	11
ANAPC1	NaN	NaN	NaN
ANAPC10	182708	1139	20
ANAPC11	3798594	211	19
ANAPC13	254024	188	16
ANAPC16	764632	140	40
ANAPC2	1722012	202	36
ANAPC4	233480	611	44
ANAPC5	959300	258	39
ANAPC7	964525	206	50
ANG	NaN	NaN	NaN
ANGEL1	308800	471	39
ANGEL2	315884	412	12
ANGPT1	50022	671	-19
ANGPT2	NaN	NaN	NaN
ANGPT4	824412	579	36
ANGPTL1	NaN	NaN	NaN
ANGPTL2	NaN	NaN	NaN
ANGPTL3	NaN	NaN	NaN
ANGPTL4	726988	204	-0
ANGPTL5	416999	514	-21
ANGPTL6	1675365	272	15
ANGPTL7	NaN	NaN	NaN
ANK1	574508	533	36
ANK2	237324	911	14
ANK3	213806	634	-8
ANKAR	408508	452	20
ANKDD1A	705779	185	57
ANKFN1	184382	511	-53
ANKFY1	816229	357	26
ANKH	503265	410	8
ANKHD1	NaN	NaN	NaN
ANKHD1-EIF4EBP3	688522	296	30
ANKIB1	708388	452	30
ANKK1	107636	610	12
ANKLE1	865138	212	38
ANKLE2	779125	601	32
ANKMY1	452566	485	21
ANKMY2	291955	612	-13
ANKRA2	403014	289	42
ANKRD1	103854	510	4
ANKRD10	506421	402	22
ANKRD11	1263742	322	40
ANKRD12	434324	391	56
ANKRD13A	950689	254	54
ANKRD13B	719319	383	30
ANKRD13C	295772	396	-1
ANKRD13D	1369264	177	44
ANKRD16	649866	305	28
ANKRD17	265492	747	19
ANKRD2	564805	169	40
ANKRD20A1	NaN	NaN	NaN
ANKRD20A3	NaN	NaN	NaN
ANKRD20A4	NaN	NaN	NaN
ANKRD22	175425	289	26
ANKRD23	822597	392	46
ANKRD24	2194691	244	41
ANKRD26	390573	459	24
ANKRD27	369667	455	-38
ANKRD28	345831	435	29
ANKRD29	331927	138	67
ANKRD30A	53742	1067	-43
ANKRD32	54375	399	20
ANKRD33	570716	438	22
ANKRD34A	NaN	NaN	NaN
ANKRD34B	321394	545	38
ANKRD35	NaN	NaN	NaN
ANKRD36B	390850	455	29
ANKRD37	173409	422	20
ANKRD39	822597	392	46
ANKRD40	1585602	196	18
ANKRD42	308108	414	18
ANKRD43	718028	356	58
ANKRD44	744603	444	27
ANKRD45	432542	423	4
ANKRD46	1144761	214	67
ANKRD49	341083	589	-7
ANKRD5	194301	442	-34
ANKRD50	47412	616	-24
ANKRD52	2878071	171	46
ANKRD53	380551	561	27
ANKRD54	1385064	203	66
ANKRD55	248990	402	45
ANKRD56	411278	462	26
ANKRD57	191347	329	22
ANKRD58	649508	NaN	73
ANKRD6	403943	609	43
ANKRD7	72287	922	-13
ANKRD9	1673146	191	42
ANKS1A	664697	304	26
ANKS1B	149256	941	-9
ANKS3	717235	194	35
ANKS4B	402663	575	41
ANKS6	298496	375	12
ANKZF1	733837	158	40
ANLN	332583	329	21
ANO1	763592	286	35
ANO10	106227	518	29
ANO2	349024	712	13
ANO3	20260	970	-20
ANO4	245388	937	-16
ANO5	51558	935	-7
ANO6	313473	719	1
ANO7	1333138	317	35
ANO8	842088	211	43
ANO9	2206786	344	58
ANP32A	437749	562	32
ANP32B	466644	269	42
ANP32C	NaN	NaN	NaN
ANP32D	904892	390	11
ANP32E	1207965	197	39
ANPEP	934542	212	37
ANTXR1	338803	288	14
ANTXR2	62176	905	6
ANUBL1	111914	603	36
ANXA1	247950	411	-15
ANXA10	55532	402	-16
ANXA11	366637	626	7
ANXA13	492587	192	12
ANXA2	431518	299	14
ANXA3	243621	351	21
ANXA4	864962	193	50
ANXA5	311234	440	9
ANXA6	926280	300	41
ANXA7	847821	249	45
ANXA8	NaN	NaN	NaN
ANXA8L1	NaN	NaN	NaN
ANXA8L2	NaN	NaN	NaN
ANXA9	1621279	172	30
AOAH	247838	600	15
AOC2	1631295	190	28
AOC3	1629499	190	23
AOX1	572062	160	23
AP1AR	181002	351	22
AP1B1	849693	251	36
AP1G1	460697	NaN	24
AP1G2	1250373	553	35
AP1M1	814131	255	26
AP1M2	2036812	226	23
AP1S1	1044715	199	39
AP1S2	170722	NaN	47
AP1S3	263604	197	16
AP2A1	1686482	172	42
AP2A2	1509286	246	48
AP2B1	715620	196	9
AP2M1	1456939	257	45
AP2S1	1217560	186	44
